Price,Land Size,Building Size,Year Built,Rooms,County
"USD $479,900","6,839.19 m2",,2007,"3 bedroom(s), 2 bathroom(s)",
"USD $1,075,000",323.75 m2,187.66 m2,2019,"4 bedroom(s), 3 bathroom(s)",Fayette - GA
"USD $425,000",923.92 m2,311.41 m2,1992,"5 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Douglas
"USD $895,999",,277.41 m2,2001,"5 bedroom(s), 3 bathroom(s)",Broward
"USD $88,750","1,173.59 m2",62.43 m2,1974,"1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Marion
"USD $353,000",728.43 m2,132.48 m2,1984,"3 bedroom(s), 2 bathroom(s)",
"USD $254,000","7,810.44 m2",156.08 m2,2002,"3 bedroom(s), 2 bathroom(s)",Heard
"USD $649,900",728.43 m2,229.19 m2,2024,"3 bedroom(s), 3 bathroom(s)",Maricopa
"USD $88,000",,91.04 m2,1980,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Accomack
"USD $210,000",445.15 m2,131.92 m2,1988,"3 bedroom(s), 2 bathroom(s)",Mohave
"USD $749,900","1,295.00 m2",,2006,"3 bedroom(s), 2 bathroom(s)",SUSSEX
"USD $289,000",562.51 m2,113.16 m2,1925,"2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Hamilton
"USD $1,349,000",,319.03 m2,1988,"3 bedroom(s), 4 bathroom(s)",Oakland
"USD $139,900",,97.55 m2,1973,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Winnebago
"USD $174,900",323.75 m2,140.47 m2,1915,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Calhoun
"USD $275,000",,93.74 m2,1969,"2 bedroom(s), 2 bathroom(s)",MONTGOMERY
"USD $196,900","1,456.87 m2",151.62 m2,1982,4 bedroom(s),Wilson
"USD $160,000",,86.96 m2,1981,"2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",
"USD $259,900",404.69 m2,,,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Whitfield
"USD $196,900","1,456.87 m2",151.62 m2,1982,"4 bedroom(s), 2 bathroom(s)",Wilson
"USD $7,950,000","149,855.22 m2",349.78 m2,,"3 bedroom(s), 4 bathroom(s)",La Plata
"USD $160,000",647.50 m2,,1910,"2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Clinton
"USD $599,900","4,370.61 m2",218.14 m2,1973,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Dutchess County
"USD $595,000","2,630.46 m2",361.49 m2,2014,"5 bedroom(s), 4 bathroom(s)",ADAMS
"USD $289,900",687.97 m2,110.74 m2,2007,"3 bedroom(s), 2 bathroom(s)",Brunswick
"USD $229,000",809.37 m2,124.77 m2,2025,"3 bedroom(s), 2 bathroom(s)",HIDALGO
"USD $219,900",809.37 m2,135.82 m2,2020,"4 bedroom(s), 2 bathroom(s)",Lowndes
"USD $289,900","4,292.10 m2",,1908,"4 bedroom(s), 3 bathroom(s)",Lake
"USD $340,000",870.07 m2,142.23 m2,1981,"3 bedroom(s), 2 bathroom(s)",Lee
"USD $595,000","21,622.37 m2",,,,Travis
"USD $895,000","4,168.27 m2",338.82 m2,2000,"4 bedroom(s), 5 bathroom(s)",Bernalillo
"USD $639,900",768.90 m2,145.67 m2,1924,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Franklin
"USD $495,000","20,274.77 m2",204.39 m2,2001,"5 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Grand Traverse
"USD $219,900",,,1917,1 bathroom(s),WASHINGTON
"USD $54,900",,72.65 m2,1969,"2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",
"USD $75,000","1,618.74 m2",135.27 m2,1922,"3 bedroom(s), 1 bathroom(s)","Bell County, KY - 59"
"USD $260,000","2,792.33 m2",130.06 m2,1983,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Henry
"USD $162,000",445.15 m2,111.02 m2,1946,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Wayne
"USD $29,000",,,,,Okeechobee
"USD $399,000","1,740.15 m2",213.68 m2,2007,"3 bedroom(s), 4 bathroom(s)",Baldwin
"USD $79,900","1,861.56 m2",112.97 m2,1995,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Lauderdale
"USD $299,900","8,296.06 m2",188.59 m2,2025,"1 bedroom(s), 1 bathroom(s)",Monroe
"USD $275,000",,103.49 m2,1980,"2 bedroom(s), 2 bathroom(s)",Palm Beach
"USD $78,000",526.09 m2,93.09 m2,1924,"3 bedroom(s), 1 bathroom(s)",Wayne
"USD $210,000","4,046.86 m2",,1993,"4 bedroom(s), 2 bathroom(s)",Heard
"USD $364,900",202.34 m2,162.58 m2,1972,"3 bedroom(s), 2 bathroom(s)",Hennepin
"USD $675,000","8,619.81 m2",249.72 m2,1997,"4 bedroom(s), 3 bathroom(s)",Litchfield
"USD $889,000","3,318.43 m2",352.38 m2,1987,"4 bedroom(s), 3 bathroom(s)",MONTGOMERY
"USD $475,000",,353.31 m2,2010,"5 bedroom(s), 4 bathroom(s)",Cumberland
"USD $525,000",566.56 m2,229.56 m2,2019,"5 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Orange
"USD $239,000",692.01 m2,153.38 m2,1935,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Cape Girardeau
"USD $293,000",526.09 m2,151.25 m2,2001,"3 bedroom(s), 2 bathroom(s)",Mohave
"USD $475,000",647.50 m2,185.99 m2,2003,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Marion
"USD $142,500","20,234.30 m2",,,,Clarke
"USD $850,000","142,449.47 m2",326.46 m2,2006,"4 bedroom(s), 4 bathroom(s)",Larimer
"USD $165,000","4,046.86 m2",117.06 m2,1960,"3 bedroom(s), 2 bathroom(s)",Fairfield
"USD $330,000","102,304.63 m2",78.87 m2,2024,"2 bedroom(s), 1 bathroom(s)",Charlton
"USD $499,000",890.31 m2,148.64 m2,2025,"3 bedroom(s), 2 bathroom(s)",SHENANDOAH
"USD $379,900",,139.73 m2,2006,"3 bedroom(s), 2 bathroom(s)",SUSSEX
"USD $799,000","8,093.72 m2",285.40 m2,2025,"4 bedroom(s), 4 bathroom(s)",Walton
"USD $369,000",242.81 m2,166.58 m2,2017,"2 bedroom(s), 2 bathroom(s)",Aiken
"USD $299,900",,141.77 m2,1959,"3 bedroom(s), 2 bathroom(s)",
"USD $819,000",,168.34 m2,1984,"3 bedroom(s), 2 bathroom(s)",Bristol
"USD $570,000",687.97 m2,232.44 m2,2012,"4 bedroom(s), 3 bathroom(s)",Maricopa
"USD $1,250,000","1,659.21 m2",364.18 m2,1985,,Johnson
"USD $629,900",728.43 m2,,1992,"5 bedroom(s), 4 bathroom(s)",
"USD $499,900",696.87 m2,129.32 m2,1969,"3 bedroom(s), 2 bathroom(s)",Middlesex
"USD $484,900",687.97 m2,274.62 m2,2007,"4 bedroom(s), 3 bathroom(s)",Maricopa
"USD $52,000",,,1900,,Fayette
"USD $1,150,000","8,417.06 m2",644.38 m2,2006,"5 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Weld
"USD $1,150,000","1,456.87 m2",201.14 m2,2021,"3 bedroom(s), 3 bathroom(s)",Santa Fe
"USD $177,000",902.85 m2,228.54 m2,1954,"4 bedroom(s), 2 bathroom(s)",Cuyahoga
"USD $725,000","33,831.75 m2",96.43 m2,1952,"3 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Oconto
"USD $55,000",890.31 m2,162.39 m2,,,Franklin
"USD $309,500",566.56 m2,140.84 m2,2002,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Marion
"USD $640,000","2,023.43 m2",212.56 m2,2025,"3 bedroom(s), 3 bathroom(s)",Sandoval
"USD $403,340",,181.16 m2,,"4 bedroom(s), 2 bathroom(s)",
"USD $1,299,999","3,439.83 m2",321.91 m2,2012,"4 bedroom(s), 5 bathroom(s)",Saratoga
"USD $499,999","2,589.99 m2",164.53 m2,1994,"4 bedroom(s), 3 bathroom(s)",Dawson - GA
"USD $621,279",849.84 m2,245.26 m2,2025,"3 bedroom(s), 4 bathroom(s)",Rockwall
"USD $625,000",485.62 m2,156.45 m2,1957,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Pinellas
"USD $965,000",651.54 m2,299.80 m2,2005,"4 bedroom(s), 4 bathroom(s)",Mecklenburg
"USD $319,900","3,403.41 m2",148.37 m2,2001,"3 bedroom(s), 2 bathroom(s)",Hennepin
"USD $560,000",,169.73 m2,2021,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Dane
"USD $210,000",607.03 m2,144.28 m2,2000,"3 bedroom(s), 2 bathroom(s)",Lubbock
"USD $228,900",40.47 m2,106.65 m2,2003,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Johnston
"USD $349,900",121.41 m2,122.63 m2,1981,"3 bedroom(s), 3 bathroom(s)",PRINCE WILLIAM
"USD $1,287,883",809.37 m2,363.81 m2,2025,"6 bedroom(s), 5 bathroom(s)",Okaloosa
"USD $295,000",161.87 m2,142.42 m2,1999,"3 bedroom(s), 2 bathroom(s)",Anoka
"USD $365,000",404.69 m2,184.32 m2,1927,"3 bedroom(s), 1 bathroom(s)",Spokane
"USD $1,374,999","17,590.56 m2",161.00 m2,2017,"3 bedroom(s), 3 bathroom(s)",Orange
"USD $359,000","4,779.34 m2",140.38 m2,1949,"3 bedroom(s), 2 bathroom(s)",Polk
"USD $979,900","1,335.46 m2",224.08 m2,2022,"3 bedroom(s), 3 bathroom(s)",Ada
"USD $539,000",679.87 m2,153.20 m2,1975,"2 bedroom(s), 2 bathroom(s)",Henderson
"USD $599,777","1,416.40 m2",281.12 m2,1977,"5 bedroom(s), 4 bathroom(s)",Dakota
"USD $399,000",283.28 m2,,1920,"3 bedroom(s), 11 bathroom(s)",Milwaukee
"USD $209,900",202.34 m2,234.58 m2,1899,5 bedroom(s),Kenton
"USD $215,000","5,058.58 m2",79.25 m2,1990,"2 bedroom(s), 1 bathroom(s)",Hubbard
"USD $159,900",115.34 m2,43.11 m2,1984,"1 bedroom(s), 1 bathroom(s)",Travis
"USD $244,999",,113.16 m2,2007,"3 bedroom(s), 2 bathroom(s)",Mohave
"USD $142,000","12,302.45 m2",,,,Livingston
"USD $380,000",890.31 m2,138.89 m2,1998,"3 bedroom(s), 2 bathroom(s)",Lee
"USD $359,000","1,133.12 m2",130.25 m2,1960,"3 bedroom(s), 2 bathroom(s)",Maricopa
"USD $269,900",404.69 m2,97.55 m2,2001,"2 bedroom(s), 2 bathroom(s)",Bernalillo
"USD $235,000",687.97 m2,133.50 m2,1967,"3 bedroom(s), 2 bathroom(s)",Mohave
"USD $510,000",671.78 m2,306.30 m2,2002,"3 bedroom(s), 4 bathroom(s)",Cobb
"USD $475,000",283.28 m2,124.03 m2,1994,"2 bedroom(s), 2 bathroom(s)",Ada
"USD $489,900",121.41 m2,141.21 m2,1997,"3 bedroom(s), 4 bathroom(s)",MONTGOMERY
"USD $544,750","2,792.33 m2",192.50 m2,2014,"4 bedroom(s), 3 bathroom(s)",Brevard
"USD $949,000","9,469.65 m2",580.83 m2,1968,"5 bedroom(s), 8 bathroom(s)",Cook
"USD $325,000",445.15 m2,,1925,,
"USD $329,000","5,341.86 m2",111.30 m2,2022,"3 bedroom(s), 2 bathroom(s)",Stanly
"USD $174,900",,84.73 m2,1900,"3 bedroom(s), 1 bathroom(s)",
"USD $220,000","4,041.66 m2",62.62 m2,1982,"1 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Orange
"USD $199,900",,128.86 m2,2019,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",
"USD $699,900",647.50 m2,176.24 m2,2023,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Lake
"USD $160,000","1,104.79 m2",169.08 m2,1930,"3 bedroom(s), 2 bathroom(s)",Logan
USD $1,"5,787.01 m2",564.29 m2,,,Washington
"USD $1,399,000",706.44 m2,200.11 m2,1965,"5 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Los Angeles
"USD $279,000",,116.22 m2,1984,"2 bedroom(s), 2 bathroom(s)",Collier
"USD $620,000",809.37 m2,235.79 m2,1976,"3 bedroom(s), 3 bathroom(s)",Washington
"USD $240,000","1,133.12 m2",173.17 m2,1985,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Sedgwick
"USD $289,500","1,254.53 m2",191.29 m2,1952,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Dubuque
"USD $450,000",854.70 m2,97.55 m2,2019,,Hidalgo
"USD $539,900",566.56 m2,153.57 m2,1957,"3 bedroom(s), 3 bathroom(s)",BALTIMORE
"USD $249,000","25,859.44 m2",116.50 m2,1975,"2 bedroom(s), 2 bathroom(s)",Perry
"USD $360,000",687.97 m2,160.44 m2,1950,"3 bedroom(s), 2 bathroom(s)",DeKalb
"USD $249,999",930.78 m2,115.85 m2,1980,"3 bedroom(s), 2 bathroom(s)",St. Louis
"USD $349,900",,148.83 m2,2008,"3 bedroom(s), 2 bathroom(s)",Putnam
"USD $588,000",,87.33 m2,1976,"2 bedroom(s), 2 bathroom(s)",Grand
"USD $639,000","16,187.44 m2",111.48 m2,1945,"3 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Cumberland
"USD $245,000",679.87 m2,141.21 m2,2025,"4 bedroom(s), 2 bathroom(s)",Hidalgo
"USD $759,000","1,216.49 m2",363.81 m2,2001,"4 bedroom(s), 4 bathroom(s)",Williamson
"USD $419,000",121.41 m2,144.00 m2,2001,"3 bedroom(s), 3 bathroom(s)",WASHINGTON
"USD $499,000","10,117.15 m2",16.91 m2,1920,"5 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Oxford
"USD $3,600,000",,,2009,"4 bedroom(s), 3 bathroom(s)",ANNE ARUNDEL
"USD $295,000","1,254.53 m2",236.16 m2,1978,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Pulaski
"USD $174,900",226.62 m2,101.08 m2,1968,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",St. Louis
"USD $359,900",768.90 m2,,1972,"4 bedroom(s), 3 bathroom(s)",Jefferson
"USD $549,000",971.25 m2,140.38 m2,1974,"3 bedroom(s), 2 bathroom(s)",Lane
"USD $569,990",607.03 m2,188.04 m2,2025,"3 bedroom(s), 2 bathroom(s)",Washington
"USD $57,300",607.03 m2,102.66 m2,1904,"3 bedroom(s), 1 bathroom(s)",Saginaw
"USD $186,000","2,815.40 m2",145.11 m2,1962,"3 bedroom(s), 3 bathroom(s)",Sebastian
"USD $184,900",730.46 m2,141.86 m2,1976,"3 bedroom(s), 2 bathroom(s)",Coryell
"USD $129,000","2,954.21 m2",,1977,"3 bedroom(s), 2 bathroom(s)",Anderson
"USD $339,900",971.25 m2,201.60 m2,2002,"3 bedroom(s), 3 bathroom(s)",Hendricks
"USD $489,900","1,011.72 m2",139.08 m2,2004,"3 bedroom(s), 2 bathroom(s)",Mohave
"USD $249,999","7,243.88 m2",277.04 m2,1950,"2 bedroom(s), 2 bathroom(s)",LINCOLN
"USD $299,900",668.95 m2,148.27 m2,1949,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Erie
"USD $534,850",485.62 m2,164.62 m2,2021,"3 bedroom(s), 3 bathroom(s)",Maricopa
"USD $378,000",,129.32 m2,1991,"2 bedroom(s), 3 bathroom(s)",MONTGOMERY
"USD $219,900",607.03 m2,133.50 m2,1986,"2 bedroom(s), 2 bathroom(s)",Mohave
"USD $475,000","1,829.18 m2",201.14 m2,1999,"3 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Allen County
"USD $750,000",809.37 m2,455.60 m2,1994,"5 bedroom(s), 4 bathroom(s)",MONTGOMERY
"USD $129,900","1,821.09 m2",103.03 m2,1977,"2 bedroom(s), 1 bathroom(s)",Warren
"USD $249,900",445.15 m2,125.51 m2,1999,"3 bedroom(s), 2 bathroom(s)",Mohave
"USD $449,900","6,879.66 m2",165.37 m2,1999,"2 bedroom(s), 2 bathroom(s)",Gilmer
"USD $1,050,000","3,156.55 m2",267.00 m2,1972,"4 bedroom(s), 3 bathroom(s)",Hall - GA
"USD $1,695,000",,,,"6 bedroom(s), 5 bathroom(s)",BERGEN
"USD $279,900",445.15 m2,140.28 m2,1989,"3 bedroom(s), 2 bathroom(s)",Clay
"USD $2,799,888",357.34 m2,252.42 m2,2013,"4 bedroom(s), 3 bathroom(s)",Santa Clara
"USD $579,000","74,057.53 m2",122.63 m2,1954,"3 bedroom(s), 2 bathroom(s)",Ulster
"USD $310,000",728.43 m2,199.93 m2,1952,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Dubuque
"USD $589,000",824.35 m2,188.78 m2,2020,"4 bedroom(s), 3 bathroom(s)",Lee
"USD $584,999",445.15 m2,,1993,"2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Morris
"USD $60,000","2,784.24 m2",,,,Oklahoma
"USD $365,000","250,905.31 m2",,,,Hinds
"USD $224,900","1,126.24 m2",126.72 m2,1975,"3 bedroom(s), 2 bathroom(s)",Coryell
"USD $329,000","4,046.86 m2",202.16 m2,2001,"3 bedroom(s), 2 bathroom(s)",Rogers
"USD $1,844,000",485.62 m2,362.51 m2,2025,"5 bedroom(s), 6 bathroom(s)",ARLINGTON
"USD $310,000",283.28 m2,,,"3 bedroom(s), 3 bathroom(s)",Greenville
"USD $1,188,000",69.20 m2,108.79 m2,1984,"2 bedroom(s), 3 bathroom(s)",Santa Clara
"USD $724,900","1,982.96 m2",224.64 m2,1988,"4 bedroom(s), 3 bathroom(s)",Strafford
"USD $50,000","4,046.86 m2",,,,Gloucester County VA
"USD $195,500",890.31 m2,133.69 m2,2003,"3 bedroom(s), 2 bathroom(s)",Aiken
"USD $89,000","105,218.36 m2",,,,Simpson
"USD $1,725,000","2,792.33 m2",302.86 m2,2022,"4 bedroom(s), 4 bathroom(s)",Bedford
"USD $399,000","36,421.74 m2",278.71 m2,1992,"4 bedroom(s), 3 bathroom(s)",Putnam
"USD $449,000",,,1952,"3 bedroom(s), 1 livingroom(s)",Mesa
"USD $239,900",607.03 m2,115.01 m2,1962,"3 bedroom(s), 1 bathroom(s)",
"USD $199,000",,83.06 m2,1972,"1 bedroom(s), 2 bathroom(s)",Palm Beach
"USD $25,000",768.90 m2,156.08 m2,1900,,Somerset
"USD $480,000",40.47 m2,97.55 m2,1967,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Rockland County
"USD $995,000",220.15 m2,148.74 m2,1986,"3 bedroom(s), 3 bathroom(s)",San Francisco
"USD $324,999",627.26 m2,139.73 m2,1913,"3 bedroom(s), 2 bathroom(s)",Orange County
"USD $90,000",,89.19 m2,1994,"2 bedroom(s), 2 bathroom(s)",Putnam
"USD $230,000",687.97 m2,166.58 m2,1950,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Bexar
"USD $142,000",485.62 m2,119.19 m2,1941,"3 bedroom(s), 2 bathroom(s)",Wayne
"USD $149,900",687.97 m2,88.44 m2,1925,"2 bedroom(s), 1 bathroom(s)",Floyd
"USD $74,900",242.81 m2,124.86 m2,1900,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Jefferson
"USD $249,000",918.64 m2,196.30 m2,1966,"3 bedroom(s), 2 bathroom(s)",Cass
"USD $869,000",557.25 m2,200.21 m2,1991,"6 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Nassau County
"USD $4,998,000","2,080.90 m2",364.46 m2,1955,"5 bedroom(s), 4 bathroom(s)",Santa Clara
"USD $280,000","1,602.56 m2",166.02 m2,1988,"3 bedroom(s), 2 bathroom(s)",Tom Green
"USD $158,900",849.84 m2,108.70 m2,1956,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Genesee
"USD $289,807",,163.51 m2,2025,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Jasper
"USD $119,900",526.09 m2,93.65 m2,1918,"3 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Clark
"USD $45,000","4,572.95 m2",,,,Cherokee
"USD $159,000","1,618.74 m2",280.57 m2,,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Forest
"USD $635,000","4,168.27 m2",191.84 m2,2006,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Orange
"USD $349,000",445.15 m2,102.56 m2,1901,"4 bedroom(s), 3 bathroom(s)",Spokane
"USD $800,000",768.90 m2,,2025,"6 bedroom(s), 7 bathroom(s)",Shelby
"USD $574,900","4,896.70 m2",304.16 m2,2016,"4 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Johnston
"USD $275,000","1,295.00 m2",122.26 m2,1972,"5 bedroom(s), 3 bathroom(s)",Story
"USD $475,000","2,023.43 m2",385.18 m2,1965,"4 bedroom(s), 3 bathroom(s)",Stearns
"USD $1,275,000","3,844.52 m2",422.62 m2,1997,"5 bedroom(s), 3 bathroom(s)",Bexar
"USD $1,500,000",687.97 m2,229.28 m2,1999,"2 bedroom(s), 3 bathroom(s)",Maricopa
"USD $1,279,999","12,181.05 m2",419.46 m2,2000,"5 bedroom(s), 4 bathroom(s)",LOUDOUN
"USD $32,000","4,087.33 m2",86.96 m2,1968,"3 bedroom(s), 1 bathroom(s)",Ashley
"USD $249,900",,185.81 m2,2020,,
"USD $320,000","1,023.79 m2",174.10 m2,1998,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Sarpy
"USD $172,000",526.09 m2,93.00 m2,1916,"2 bedroom(s), 1 bathroom(s)",Richmond
"USD $149,500","1,897.98 m2",112.32 m2,1975,"2 bedroom(s), 1 bathroom(s)",Brown
"USD $159,000",,,1987,"1 bedroom(s), 1 bathroom(s)",Horry
"USD $240,000",485.62 m2,144.09 m2,2021,"4 bedroom(s), 2 bathroom(s)",Lubbock
"USD $410,000",323.75 m2,,1940,5 bathroom(s),
"USD $1,100,000",,133.04 m2,2006,"2 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Grand Traverse
"USD $1,000,000","1,699.68 m2",299.89 m2,1968,"4 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Dane
"USD $47,000",85.84 m2,85.84 m2,1985,"2 bedroom(s), 2 bathroom(s)",San Bernardino
"USD $929,900",,398.74 m2,2022,"4 bedroom(s), 4 bathroom(s)",Douglas
"USD $2,780,000","1,578.28 m2",417.88 m2,2026,"4 bedroom(s), 5 bathroom(s)",Washoe
"USD $99,000","1,995.65 m2",,,,Stanislaus
"USD $324,706","1,861.56 m2",150.32 m2,2025,"3 bedroom(s), 2 bathroom(s)",Harnett
"USD $650,000",242.81 m2,166.39 m2,1947,2 bedroom(s),Pinellas
"USD $745,000","1,995.65 m2",284.56 m2,2025,"4 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Stanislaus
"USD $349,900","4,087.33 m2",140.47 m2,2004,"3 bedroom(s), 2 bathroom(s)",Habersham
"USD $199,900",,119.19 m2,,"3 bedroom(s), 2 bathroom(s)",Craighead
"USD $475,000",283.28 m2,151.62 m2,2018,"2 bedroom(s), 2 bathroom(s)",Maricopa
"USD $52,000",317.68 m2,,1890,"2 bedroom(s), 1 bathroom(s)",Washington
"USD $259,000","1,982.96 m2",131.55 m2,1956,"2 bedroom(s), 2 bathroom(s)",Clarke
"USD $339,000","2,589.99 m2",341.42 m2,1959,"3 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Jefferson
"USD $240,000",712.65 m2,175.12 m2,1983,"3 bedroom(s), 2 bathroom(s)",Hidalgo
"USD $760,000",,92.90 m2,2002,"2 bedroom(s), 2 bathroom(s)",Broward
"USD $179,900",647.50 m2,161.56 m2,1892,"4 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Outagamie
"USD $400,000",445.15 m2,139.63 m2,2019,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Clark
"USD $309,900","2,023.43 m2",213.12 m2,1966,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Aiken
"USD $2,549,000","3,156.55 m2",355.26 m2,1996,"5 bedroom(s), 4 bathroom(s)",Monmouth
"USD $414,000","1,254.53 m2",176.79 m2,2023,"3 bedroom(s), 3 bathroom(s)",Camden
"USD $91,000",283.28 m2,66.89 m2,1971,"3 bedroom(s), 1 bathroom(s)",Mohave
"USD $849,000",,112.41 m2,1957,"3 bedroom(s), 2 bathroom(s)",Broward
"USD $950,000","2,994.68 m2",442.50 m2,1991,"5 bedroom(s), 5 bathroom(s)",Ozaukee
"USD $360,000","3,763.58 m2",108.98 m2,2025,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Knox
"USD $259,000","1,982.96 m2",131.55 m2,1956,"2 bedroom(s), 2 bathroom(s)",Clarke
"USD $429,900",283.28 m2,190.45 m2,2001,"3 bedroom(s), 4 bathroom(s)",FREDERICK
"USD $175,000",,50.63 m2,1900,"1 bedroom(s), 1 bathroom(s)",PHILADELPHIA
"USD $499,900","51,637.93 m2",238.39 m2,1973,"3 bedroom(s), 3 bathroom(s)",Nelson
"USD $365,000",,254.74 m2,2005,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Sarpy
"USD $339,900","12,140.58 m2",194.63 m2,,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Hardin
"USD $130,000",,187.29 m2,1900,"2 bedroom(s), 1 bathroom(s)",RALEIGH
"USD $289,500","1,740.15 m2",228.17 m2,1992,"4 bedroom(s), 2 bathroom(s)",Brown-MN
"USD $219,000",641.02 m2,231.70 m2,1958,"3 bedroom(s), 2 bathroom(s)",Hancock
"USD $599,000",607.03 m2,117.62 m2,1885,"3 bedroom(s), 2 bathroom(s)",St. Johns
"USD $359,900",930.78 m2,150.50 m2,2020,"4 bedroom(s), 2 bathroom(s)",Lee
"USD $669,900","10,117.15 m2",218.32 m2,2025,"5 bedroom(s), 3 bathroom(s)",
"USD $625,999","8,741.22 m2",209.22 m2,2021,"4 bedroom(s), 3 bathroom(s)",Fannin
"USD $549,900","9,429.18 m2",,1995,"4 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Westmoreland
"USD $249,999",971.25 m2,125.79 m2,1955,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Macomb
"USD $130,000","14,164.01 m2",112.97 m2,,"3 bedroom(s), 2 bathroom(s)",Pontotoc
"USD $829,900","2,954.21 m2",147.72 m2,1975,"3 bedroom(s), 2 bathroom(s)",San Diego
"USD $324,900",404.69 m2,154.13 m2,2005,"3 bedroom(s), 3 bathroom(s)",
"USD $385,000",728.43 m2,298.31 m2,2007,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Jefferson
"USD $47,000",,,1995,"3 bedroom(s), 2 bathroom(s)",
"USD $359,900","13,759.32 m2",148.83 m2,1985,"3 bedroom(s), 2 bathroom(s)",Mille Lacs
"USD $849,000",,382.30 m2,2002,"4 bedroom(s), 4 bathroom(s)",Indian River
"USD $47,000",687.97 m2,104.05 m2,1995,"3 bedroom(s), 2 bathroom(s)",Lake
"USD $839,000","1,513.53 m2",339.10 m2,2022,"4 bedroom(s), 4 bathroom(s), 1 livingroom(s)",St. Charles
"USD $196,500",526.09 m2,157.94 m2,1900,"4 bedroom(s), 1 bathroom(s)",Clinton
"USD $675,000",,,1925,,DELAWARE
"USD $450,000",890.31 m2,212.75 m2,2001,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)","Johnson, KS"
"USD $244,900","1,942.49 m2",134.43 m2,1941,"4 bedroom(s), 1 bathroom(s)",Rowan
"USD $114,900",566.56 m2,118.17 m2,1942,"3 bedroom(s), 1 bathroom(s)",Ottawa
"USD $469,000",,225.75 m2,2019,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Wake
