Building Size,County,Land Size,Price,Year Built,bathroom(s),bedroom(s),livingroom(s)
119.19,Wayne,485.62,142000,1941,2,3,0
88.44,Floyd,687.97,149900,1925,1,2,0
124.86,Jefferson,242.81,74900,1900,2,4,1
196.3,Cass,918.64,249000,1966,2,3,0
200.21,Nassau County,557.25,869000,1991,3,6,1
364.46,Santa Clara,2080.9,4998000,1955,4,5,0
166.02,Tom Green,1602.56,280000,1988,2,3,0
108.7,Genesee,849.84,158900,1956,2,3,1
93.65,Clark,526.09,119900,1918,1,3,1
191.84,Orange,4168.27,635000,2006,2,3,1
102.56,Spokane,445.15,349000,1901,3,4,0
304.16,Johnston,4896.7,574900,2016,4,4,1
122.26,Story,1295.0,275000,1972,3,5,0
385.18,Stearns,2023.43,475000,1965,3,4,0
422.62,Bexar,3844.52,1275000,1997,3,5,0
229.28,Maricopa,687.97,1500000,1999,3,2,0
419.46,LOUDOUN,12181.05,1279999,2000,4,5,0
86.96,Ashley,4087.33,32000,1968,1,3,0
174.1,Sarpy,1023.79,320000,1998,3,3,1
93.0,Richmond,526.09,172000,1916,1,2,0
112.32,Brown,1897.98,149500,1975,1,2,0
144.09,Lubbock,485.62,240000,2021,2,4,0
299.89,Dane,1699.68,1000000,1968,4,4,1
85.84,San Bernardino,85.84,47000,1985,2,2,0
417.88,Washoe,1578.28,2780000,2026,5,4,0
150.32,Harnett,1861.56,324706,2025,2,3,0
166.39,Pinellas,242.81,650000,1947,0,2,0
284.56,Stanislaus,1995.65,745000,2025,4,4,1
140.47,Habersham,4087.33,349900,2004,2,3,0
151.62,Maricopa,283.28,475000,2018,2,2,0
131.55,Clarke,1982.96,259000,1956,2,2,0
341.42,Jefferson,2589.99,339000,1959,4,3,1
175.12,Hidalgo,712.65,240000,1983,2,3,0
161.56,Outagamie,647.5,179900,1892,1,4,1
139.63,Clark,445.15,400000,2019,2,3,1
213.12,Aiken,2023.43,309900,1966,2,3,1
355.26,Monmouth,3156.55,2549000,1996,4,5,0
176.79,Camden,1254.53,414000,2023,3,3,0
66.89,Mohave,283.28,91000,1971,1,3,0
442.5,Ozaukee,2994.68,950000,1991,5,5,0
108.98,Knox,3763.58,360000,2025,2,3,1
131.55,Clarke,1982.96,259000,1956,2,2,0
190.45,FREDERICK,283.28,429900,2001,4,3,0
238.39,Nelson,51637.93,499900,1973,3,3,0
228.17,Brown-MN,1740.15,289500,1992,2,4,0
231.7,Hancock,641.02,219000,1958,2,3,0
117.62,St. Johns,607.03,599000,1885,2,3,0
150.5,Lee,930.78,359900,2020,2,4,0
209.22,Fannin,8741.22,625999,2021,3,4,0
125.79,Macomb,971.25,249999,1955,2,3,1
147.72,San Diego,2954.21,829900,1975,2,3,0
298.31,Jefferson,728.43,385000,2007,3,4,1
148.83,Mille Lacs,13759.32,359900,1985,2,3,0
104.05,Lake,687.97,47000,1995,2,3,0
339.1,St. Charles,1513.53,839000,2022,4,4,1
157.94,Clinton,526.09,196500,1900,1,4,0
212.75,"Johnson, KS",890.31,450000,2001,3,4,1
134.43,Rowan,1942.49,244900,1941,1,4,0
118.17,Ottawa,566.56,114900,1942,1,3,0
168.99,Santa Cruz,2873.27,292900,2007,2,3,0
113.53,San Bernardino,627.1,449999,1993,2,3,0
186.18,Stearns,1497.34,300000,1968,2,5,0
120.96,Wake,1011.72,335500,1998,2,3,0
151.62,Harrison,991.48,257500,1957,1,3,1
148.83,Tarrant,764.86,289749,2025,2,3,0
142.7,Dixie,4087.33,259900,2020,2,3,0
118.92,BALTIMORE,202.34,329900,1987,3,3,0
151.62,San Diego,728.43,975000,1985,2,4,0
75.16,Alameda,2185.3,498000,1962,1,2,0
170.94,Kent County,485.62,305000,1922,2,4,0
293.48,GARRETT,3925.45,474900,1972,3,4,0
194.63,Suffolk County,1375.93,799000,1962,4,5,0
167.69,Wayne,2104.37,385000,1990,3,3,1
129.6,Mohave,1052.18,384900,2001,2,3,0
161.93,ANNE ARUNDEL,1740.15,649900,1940,3,4,0
263.84,Charleston,1011.72,3150000,1965,4,6,0
315.41,Bexar,768.9,739000,1991,3,4,1
119.66,Langlade,704.11,169000,1942,1,3,1
173.91,Lake,2118.13,275000,1967,2,3,0
115.2,Sarpy,557.42,236000,1961,2,3,0
312.15,Carroll,16187.44,629900,1975,3,4,0
139.45,Rabun,5301.39,468000,2006,3,3,0
184.6,Fulton,1914.16,465000,1950,3,4,0
113.53,Henderson,4451.55,40000,2018,2,3,0
65.03,Gilmer,3965.92,450000,1990,1,2,1
122.63,Jackson,80.94,200000,1988,2,2,1
206.8,Ingham,6029.82,379900,1975,2,5,1
223.9,Nassau County,404.69,1498000,1925,4,5,0
338.91,Larimer,323.75,599990,2025,3,3,0
311.23,Garland,1497.34,819900,2025,4,4,0
143.63,Mohave,121.41,549500,2007,2,3,0
65.03,Ocean,80.94,240000,1979,1,1,0
236.07,"Crawford, KS",1385.24,274500,1969,3,4,1
160.16,Monongalia,1254.53,350000,2016,3,3,1
245.54,Dekalb - GA,1578.28,335000,1964,3,3,0
219.34,Travis,39347620.0,2103800,1951,3,4,0
176.14,Ventura,890.29,1499000,1976,2,3,1
70.05,Polk,607.03,120000,1954,1,2,1
243.87,Yalobusha,13759.32,380000,2007,2,3,0
88.26,New Haven,607.03,359900,1950,1,3,0
344.21,Lavaca,15701.82,495000,1931,5,5,0
113.81,Ray,52609.18,265000,1991,1,2,1
386.85,Jefferson,647.5,1250000,1928,5,5,1
129.04,Pulaski,809.37,189900,1950,2,2,0
239.88,Collier,930.78,2900000,2020,3,4,0
170.94,Pickens,445.15,449777,2021,3,2,0
283.35,Los Angeles,1259.21,2649000,2025,5,5,0
208.66,Summit,2808.12,249900,1971,3,4,0
122.63,PRINCE GEORGES,121.41,379900,1996,4,3,0
157.38,Lexington,526.09,264900,2009,3,3,1
124.68,Douglas,267.56,185000,1900,2,4,1
269.42,Kent,2266.24,670000,2016,4,5,0
447.61,Garland,1416.4,2250000,2025,4,4,0
139.35,Lincoln,16187.44,379000,2020,2,3,0
180.6,Clinton,364.22,259900,2011,3,2,0
179.12,Knox County - 1,1052.18,489000,1994,2,4,0
98.11,Ada,817.47,375000,1960,1,3,0
108.98,Los Angeles,696.96,799000,1959,2,3,0
230.21,Clay,2428.12,519000,1986,2,4,0
100.71,Sangamon,485.62,135000,1939,1,2,1
128.58,Nassau County,464.58,899999,1925,2,4,0
290.32,Cobb,125.45,674999,2018,4,3,0
193.61,Licking,1214.06,439900,2019,2,3,0
93.65,Tippecanoe County,607.03,199900,1951,1,3,1
192.22,San Bernardino,701.42,899000,1991,3,3,0
77.85,Polk,651.54,128000,1922,1,3,0
85.75,Victoria,696.87,124900,1943,1,2,0
219.07,Henry,566.56,299900,2003,3,4,0
197.7,Jefferson,687.97,259900,1968,2,3,0
79.15,Ocean,404.69,599999,1947,1,2,1
211.82,Kings (Brooklyn),213.86,1898000,1925,4,4,0
118.92,MANASSAS PARK CITY,849.84,450000,1957,1,3,0
205.13,Watauga,8457.94,1995000,1924,3,4,0
153.66,Bexar,1416.4,258000,1968,2,3,1
75.81,Marion,566.56,164900,1945,1,3,1
192.77,DeKalb,2873.27,250000,1966,3,4,0
302.49,Boone,92268.41,729000,2007,0,4,0
192.96,DEKALB,3156.55,359000,2005,2,3,0
145.58,Oakland,2792.33,475000,1965,2,3,0
141.21,Carteret,2428.12,450000,1996,2,3,0
633.78,Canyon,3723.11,1699000,2005,5,6,0
117.89,Brevard,80.94,300000,1986,2,2,0
222.97,Franklin,28328.02,199500,2006,2,4,0
101.45,Polk,991.48,247000,1959,2,3,0
155.06,Dallas,724.39,305000,1973,2,4,0
165.37,El Paso,202.34,450000,2021,3,3,1
162.3,Lee,882.22,310000,2017,2,3,0
248.24,Spokane,12707.14,599900,1977,2,4,0
115.01,YORK,566.56,245000,1950,1,3,0
274.53,Lake,1578.28,720000,2015,3,4,1
184.69,Tippecanoe County,8700.75,514000,2022,3,3,1
122.35,Granville,971.25,310000,1999,2,3,0
200.67,Granville,2104.37,378000,2004,3,4,0
151.62,Staten Island,272.86,850000,2003,4,4,0
208.85,Wake,1133.12,559000,1983,3,3,0
134.43,Comal,979.34,339000,2022,2,3,1
203.46,Winnebago,10926.52,379900,1984,3,3,1
221.2,Escambia - Fl,1726.39,479000,1995,3,3,0
194.82,Wayne,1092.65,449900,2001,3,4,0
176.7,Milwaukee,445.15,399900,1936,2,3,0
297.29,Fannin,10359.96,1074900,2005,6,4,0
287.35,San Bernardino,891.87,480000,1990,2,3,1
142.33,Midland,558.47,325000,2025,2,3,0
215.81,Maricopa,849.84,513000,2012,2,2,0
134.52,Washington,849.84,475000,2023,2,3,0
74.32,Newaygo,359523.03,1085000,1960,2,2,0
267.75,Wake,728.43,650000,2025,3,4,0
353.4,Collier,2063.9,1475000,1958,6,6,0
118.92,Linn,1177.64,229950,1962,2,3,0
111.2,Tom Green,651.54,195000,1956,2,3,0
251.3,LEE,1375.93,559574,2025,3,4,0
152.45,Mohave,647.5,419900,2024,2,3,0
207.36,Portage,2670.93,275000,1930,2,4,0
261.34,Bexar,2634.51,555000,1991,3,4,1
229.28,La Porte County,3884.99,444900,2020,3,3,1
300.08,Pike,26506.93,599999,2003,3,3,1
113.81,NEW CASTLE,161.87,235000,1920,2,3,0
99.87,Fairfield,1214.06,429000,1959,1,3,0
147.07,Mohave,971.25,389000,1996,2,3,0
81.75,Dutchess County,40.47,215000,1963,1,2,0
112.41,Durham,4006.39,950000,1935,2,3,1
152.45,Mohave,647.5,419900,2024,2,3,0
71.35,Barnstable,809.37,540000,1960,2,2,0
227.8,Linn,2298.62,340000,1955,3,4,1
153.58,Clark,1919.02,199900,1950,2,3,1
172.61,Beaufort,2711.4,275000,2004,2,3,0
159.79,Forsyth - GA,89.03,365000,2008,4,3,0
134.52,Steuben,1295.0,125000,1910,1,3,0
82.13,Henry - GA,4046.86,155000,1960,1,3,0
250.09,Gwinnett,1254.53,429000,1999,3,5,0
82.13,Henry County,4046.86,155000,1960,1,3,0
200.67,Missoula,83608.13,935000,1980,2,3,0
204.2,Hillsborough,404.69,589900,2021,3,4,1
170.66,Lee,971.25,359900,2005,2,4,0
301.75,Wake,566.56,825000,2006,4,5,1
108.79,Riverside,809.37,499900,1988,2,3,1
153.29,Wyandotte,1092.65,265000,1950,2,4,0
92.9,Lynchburg,574.65,198500,2011,2,2,1
124.21,Jackson,4775.29,219000,1940,1,3,1
153.85,Lee,2721.92,425000,2007,2,3,0
367.15,Maricopa,647.5,815000,2010,4,6,0
185.53,Fulton,465.39,279900,2005,3,4,0
151.25,Douglas,448.72,240000,1918,2,3,1
255.48,Ozark,156249.27,545000,1978,3,4,0
236.25,Wyandotte,1335.46,354900,1993,4,4,1
330.27,Bronx County,232.29,1000000,1910,4,8,0
124.21,Jackson,4775.29,219000,1940,1,3,0
312.34,Washington,40104.38,819000,2009,4,4,0
227.61,Multnomah,485.62,759000,1925,3,4,0
115.01,Summit,114.93,250000,1989,2,3,0
244.33,San Francisco,214.08,3249000,1925,4,4,0
284.75,Thomas,4208.73,625000,1978,3,3,1
118.92,Leon,364.22,215000,1996,4,4,0
94.11,Milwaukee,607.03,249900,1955,1,3,0
279.64,Los Angeles,2147.67,1695000,1998,4,5,0
284.75,Thomas,4208.73,629000,1978,3,3,1
249.54,Mohave,1011.72,629900,1999,3,3,0
155.61,NEW CASTLE,202.34,189500,1915,2,3,0
219.07,Lane,607.03,485000,1978,3,4,0
292.09,Campbell,364.22,450000,1887,4,4,0
332.96,Putnam,20234.3,539500,2013,3,4,1
180.42,Wyandotte,2063.9,245000,1946,2,3,0
119.75,Rogers,3739.3,239900,2004,2,3,0
997.59,Warren,36421.74,990000,1935,0,10,0
153.57,Jefferson,849.84,269000,1973,3,3,1
266.63,WASHINGTON,242.81,1949000,1910,3,4,0
270.63,Chatham,566.56,790000,1995,3,3,0
230.59,Paulding - GA,2832.8,500000,1998,4,5,0
84.73,Fulton - GA,84.58,255000,1970,1,2,0
169.73,YORK,1133.12,325000,2003,2,3,0
209.59,Portage,7729.5,435000,1985,2,4,1
131.55,Logan,404.69,209900,1900,1,3,0
159.05,Pima,647.5,698000,1947,2,2,0
319.49,Richland,1861.56,619900,2005,4,4,1
164.53,Christian,2347.18,229000,1940,2,4,0
132.85,Jackson,362.19,120000,1935,1,3,0
120.03,Jackson,3804.05,218900,1950,1,3,0
187.11,Denver,323.75,535000,1998,4,4,0
133.78,Ocean,1578.28,1349000,1950,2,3,0
727.24,Douglas,2339.09,1999999,2006,6,4,1
355.82,Durham,5382.32,1990000,1984,4,3,1
156.17,Camden,1295.0,349000,1956,2,3,0
177.26,BALTIMORE CITY,40.47,450000,1875,4,3,0
157.94,Chatham County,80.94,529000,1977,4,3,0
167.97,Lyon,687.97,289000,1920,3,4,0
229.1,Robertson,1044.09,259000,1974,3,4,0
141.49,Warren,768.9,292900,2025,2,3,0
243.68,WARREN,16713.53,500000,2005,2,3,0
141.4,Dekalb - GA,445.15,195000,1990,3,3,0
113.71,PHILADELPHIA,161.87,234900,1950,2,3,0
246.94,Wake,809.37,425000,2004,3,4,1
227.61,Washtenaw,4127.8,735000,2025,3,4,0
155.8,BALTIMORE CITY,161.87,199900,1953,3,3,0
156.63,Onslow,2023.43,315900,2026,3,3,0
149.95,BALTIMORE,647.5,385000,1985,2,3,0
143.81,WARREN,3682.64,399000,1946,2,3,0
175.59,Elkhart County,2306.71,299900,1972,2,3,1
263.75,Stevens,72843.48,775000,1944,3,4,0
163.04,Snyder,809.37,350000,1954,3,4,0
186.55,Los Angeles,646.42,1650000,1955,3,4,1
132.85,FREDERICK,404.69,349500,1927,1,3,0
164.25,Spokane,15094.79,449000,2016,2,3,0
260.13,Fayette,752.72,520000,1990,4,4,0
519.61,Cobb - GA,2003.2,1000000,2003,5,4,0
138.24,Hamilton,728.43,295000,2025,2,4,0
185.81,ANNE ARUNDEL,202.34,560000,2021,4,4,0
284.56,Stanislaus,2054.18,745000,2025,4,4,1
114.46,Tippecanoe County,732.48,75000,1987,2,3,1
170.57,Harris,5422.79,595000,1983,3,3,0
116.87,Hamilton,797.23,369900,1950,2,3,1
278.8,Tulsa,999.57,604000,2019,3,3,0
410.82,Forsyth - GA,930.78,750000,2010,5,6,0
267.93,FREDERICK,445.15,620000,2019,4,3,0
272.58,Walworth,4289.67,440000,1992,3,5,0
134.9,Cobb - GA,158.23,299900,1984,3,2,0
164.25,Mohave,647.5,479000,2022,2,3,0
148.27,Brazos,687.97,318000,2021,2,4,0
170.48,Santa Rosa,635.36,335000,2021,2,4,0
164.25,York,5827.48,549999,2025,3,3,1
322.37,Trempealeau,23067.1,650000,1996,3,4,0
302.21,Fulton - GA,550.37,929000,2025,5,4,0
74.32,Franklin,4046.86,990000,1979,1,2,1
212.93,Bastrop,16584.03,500000,1974,2,3,0
159.42,Spartanburg,3399.36,344900,2025,2,3,1
194.54,Hillsborough,1133.12,510000,1974,3,4,1
185.81,Calhoun,1300.66,550000,1976,2,4,0
158.77,Lee,934.82,334900,2005,2,4,0
95.13,BALTIMORE,161.87,100000,1960,1,3,0
220.37,Woodford,7931.85,472900,1975,3,3,1
167.32,Saginaw,1780.62,505000,2015,3,3,1
147.62,Nassau County,501.81,749000,1954,3,5,0
119.1,Hancock,1092.65,130000,1957,2,3,1
126.16,Jackson,3035.15,315000,1998,2,3,0
150.87,Lancaster,594.12,310000,1990,3,3,1
349.59,Walton - GA,3723.11,455000,1999,4,5,0
274.71,Mohave,1780.62,2229000,2020,4,4,0
289.95,Seminole,1214.06,1125000,2000,4,4,1
345.6,Oklahoma,1458.08,975000,2011,5,4,0
206.43,Fairfield,202.34,439900,1909,2,5,0
229.66,Charlotte,768.9,534500,2024,3,4,0
381.0,Fayette,647.5,645999,2019,4,4,1
215.35,Clark,364.22,425000,2006,3,4,1
181.53,Manatee,607.03,441000,2015,2,3,1
133.41,Oakland,1052.18,315000,1963,2,3,1
289.86,Jefferson,971.25,645000,2025,4,3,1
148.64,Lee,924.3,395000,2025,2,3,0
134.9,Cobb,161.87,299900,1984,3,2,0
106.47,Marion,687.97,187000,1953,2,4,1
272.3,Alameda,526.09,1950000,2025,0,7,0
152.92,Jefferson,647.5,417000,2022,2,3,0
158.68,Lorain,930.78,199900,1958,2,3,0
238.48,Polk,6636.85,820000,2021,3,4,1
173.17,Anderson County - 30,1052.18,445000,1945,2,4,0
145.67,Cocke County - 39,8862.62,250000,1982,1,2,0
120.4,Monmouth,323.75,530000,1985,2,2,0
91.79,Clark,566.56,349900,1964,2,3,1
96.99,Tulsa,805.33,190000,1939,1,2,0
336.59,Travis,919.85,1199900,2000,4,5,0
191.47,Manatee,526.09,360000,2022,3,4,1
234.12,BALTIMORE,485.62,584500,1955,3,3,0
570.8,Fairfield,16713.53,2850000,1988,5,5,0
248.61,Baldwin,1436.64,649900,2022,4,4,0
74.32,Muskogee,2711.4,124900,2025,1,2,0
139.35,Waupaca,1618.74,250000,1991,1,3,1
137.4,Douglas,613.16,265000,1958,2,3,1
492.48,Hamilton,1456.87,1680000,2020,5,5,0
170.76,Yadkin,6495.21,289000,1951,1,3,0
183.86,York,364.22,600000,2010,3,3,0
315.87,Tulsa,335.89,900000,2016,4,2,0
191.66,New Haven,2954.21,459000,1996,3,4,0
204.11,Marion,2306.71,425000,1960,3,3,0
666.39,LOUDOUN,3723.11,1799888,2004,6,5,0
126.16,Sanders,602.98,375000,1911,3,3,0
209.03,CUMBERLAND,1497.34,445000,2004,3,4,0
79.71,Escambia - Fl,348.43,310000,1948,2,2,0
151.43,Cumberland,687.97,1100000,1971,2,3,0
107.02,MORGAN,20558.05,349900,2004,2,2,0
130.06,Summit,625.24,175000,1956,2,3,0
151.15,Wilkes,14164.01,292000,1978,2,3,0
261.52,SCHUYLKILL,3277.96,435000,2005,3,4,0
190.36,Burnet,2023.43,479000,1993,2,3,0
118.17,Lake,2044.07,279000,1953,2,3,0
111.67,Union,768.9,319900,1991,2,3,0
182.37,White,10117.15,310000,1993,3,3,1
109.53,Bexar,501.81,228900,2022,2,3,1
137.4,Pinellas,445.15,475000,1920,2,3,1
228.36,Marion,1416.4,440000,1991,3,3,0
162.67,Hancock,1375.93,255000,1996,2,3,0
308.44,Rutherford,303109.81,1250000,1992,5,5,0
205.59,Walton,890.31,649000,1995,3,4,1
98.48,Dekalb - GA,687.97,399999,1925,1,3,0
142.14,Johnston,2266.24,315000,2007,2,3,0
171.68,Cuyahoga,2063.9,324900,1958,2,4,0
138.33,Lubbock,445.15,268500,2022,2,3,0
338.45,Rock,6110.76,639900,2008,3,3,1
251.12,Los Angeles,792.18,1325000,1965,4,3,1
129.41,Somerset,930.78,205000,1900,3,2,1
28.8,Deschutes,4572.95,189000,1963,1,1,0
108.42,Clermont,82.96,175000,1974,2,2,1
151.8,New London,1942.49,460000,1962,2,3,0
256.41,Grand Traverse,1456.87,499000,1965,3,3,1
167.23,Northampton,837.7,309900,1900,1,4,0
108.88,PRINCE GEORGES,647.5,410000,1941,2,4,0
138.33,Mohave,1011.72,479000,2000,2,3,0
297.29,Lake,526.09,190000,1916,3,3,1
148.64,Lubbock,485.62,262715,2025,2,4,1
207.17,Polk,526.09,367000,2022,3,4,1
438.04,Douglas,978.27,499000,1999,5,5,1
286.05,Lee,4411.08,325000,1961,3,4,1
112.51,Carteret,4815.76,240000,1952,2,3,0
283.17,YORK,2144.84,529000,2014,3,4,0
200.39,Escambia - Fl,1659.21,339000,1987,2,3,0
262.82,Cobb - GA,1681.47,615000,1999,3,4,0
157.56,Roanoke,121.41,299950,1994,3,3,0
151.62,Stark,783.47,144900,1974,2,4,0
351.08,Washoe,930.78,1599000,2021,4,4,0
208.01,Rockland County,80.94,1175000,2000,2,2,1
240.8,Oakland,1052.18,430000,1978,3,4,0
210.7,Austin,8389.14,325000,1976,2,3,0
148.27,Saginaw,1011.72,277000,1972,2,3,1
111.86,Lee,930.78,289700,2021,2,3,0
151.8,Clackamas,890.31,599000,1977,2,3,0
169.64,Gwinnett - GA,1295.0,390000,1980,3,3,0
206.52,Rowan,687.97,225000,1900,1,5,0
86.96,Calhoun,1133.12,185000,1953,1,2,0
196.49,Lancaster,613.16,250000,1968,3,3,1
247.59,Escambia - Fl,1011.72,539900,2005,4,5,0
140.47,Spalding,971.25,225000,1946,2,3,0
248.14,Canyon,687.97,565000,2025,3,5,0
595.88,Dawson - GA,3318.43,2549000,1994,5,5,0
127.0,Hamilton,1214.06,270000,1959,2,3,1
219.07,Los Angeles,828.51,1685000,1949,5,5,1
412.4,Kewaunee,9712.46,2699900,2002,4,6,1
249.91,Wilson,7446.22,499000,2025,3,3,0
165.09,Lee,955.06,325000,2004,2,3,0
254.37,Loudon County - 32,809.37,1050000,2022,3,4,0
166.11,LaGrange County,2104.37,325000,1970,2,4,1
102.75,"Johnson, KS",851.05,200000,1945,2,3,0
263.19,Bryan County,768.9,510190,2025,3,5,0
178.93,Mecklenburg,1456.87,400000,1975,3,4,0
124.58,Denver,202.34,535000,2018,3,3,0
145.67,Alamance,1578.28,295500,2004,2,3,1
175.4,Columbia,4451.55,350000,2002,2,2,1
181.44,Pinal,566.56,369900,2005,2,4,0
115.94,St. Johns,6798.72,600000,1985,2,3,0
390.19,Hampton,638.59,1449000,1996,3,4,0
522.58,Jackson,1763.22,845000,1900,7,5,1
146.04,Mohave,930.78,447900,1994,3,3,0
194.07,Lake,983.39,799000,1965,3,4,0
130.71,St Lawrence,19222.59,75000,1920,1,3,0
318.01,Hampton,1052.18,484000,1951,4,5,0
255.67,Hillsborough,4330.14,679999,1985,3,4,1
150.5,Duval,566.56,939000,1978,3,3,0
67.63,Gladwin,768.9,69000,1988,1,2,1
165.74,Cherokee - GA,121.41,315000,2005,3,3,0
161.65,Douglas,516.91,275000,2000,3,3,1
107.02,Orange County,40.47,319000,1985,2,2,0
200.11,Henry - GA,4208.73,350000,2001,2,3,0
89.19,Johnson,80.94,115000,1968,1,2,1
190.92,Escambia - Fl,4532.48,325000,1983,2,3,0
97.18,Clermont,1861.56,230000,1955,1,3,1
163.51,Gregg,930.78,200000,1958,2,4,0
155.89,Hamilton,1537.81,450000,1920,2,3,0
221.02,Dane,445.15,450000,2006,3,3,1
139.91,Multnomah,566.56,485000,1904,2,4,0
129.6,HOWARD,121.41,369900,1972,2,4,0
107.4,Harrison,890.31,190000,2008,2,3,0
220.83,Dane,1173.59,549900,1997,3,3,1
185.81,CAMDEN,687.97,299000,1948,2,2,0
36.7,Nacogdoches,4046.86,106000,2023,1,1,0
159.42,Spartanburg,3804.05,344900,2025,2,3,1
209.96,Oklahoma,932.4,399900,2013,3,4,1
119.57,Dorchester,809.37,225000,1970,2,3,0
635.46,Lauderdale,4572.95,1500000,1986,4,0,0
410.82,Forsyth,930.78,750000,2010,5,6,0
252.14,Stark,1145.67,349900,1977,3,4,0
65.59,Lancaster,529.73,99000,1975,1,2,0
119.1,Monroe,2670.93,249000,1967,2,3,1
90.49,Hamilton,2306.71,235000,1968,1,2,1
152.92,FAIRFAX,80.94,584900,1996,3,2,0
123.0,DAUPHIN,161.87,159995,1948,2,3,0
182.83,Bexar,1234.29,300000,2005,2,4,0
181.44,Allen County,890.31,310000,1978,3,4,1
196.03,Jefferson,1173.59,390000,1970,3,3,1
195.1,Salt Lake,40.47,599000,1973,3,3,0
158.77,Mohave,768.9,378900,2010,2,4,0
217.39,Georgetown,930.78,450000,2021,3,4,0
136.29,Colonial Heights,1133.12,360000,2024,2,3,0
217.02,Mohave,644.66,649900,2025,4,4,0
123.93,Gilmer - GA,2792.33,375000,2022,2,3,0
155.71,Madison,971.25,300000,2006,3,3,0
222.97,Hamilton,1618.74,597400,2005,3,3,1
95.69,Montcalm,1011.72,89900,1900,1,3,0
470.93,Riverside,2347.18,2350000,2014,6,5,1
337.7,Buncombe,56251.35,1050000,1990,4,4,0
155.24,Clay,1133.12,150000,1989,2,3,0
199.0,LANCASTER,242.81,379900,1902,3,4,0
168.15,Nassau,526.09,340000,2014,2,3,0
108.7,Fannin,5018.11,650000,1992,2,2,1
172.52,Washtenaw,485.62,379270,2025,3,4,1
235.6,Fulton,647.5,485000,2023,3,4,0
227.43,Denver,607.03,925000,1926,2,4,0
128.26,Lubbock,890.31,150000,1952,2,3,0
307.69,Cambria,8498.41,399900,1979,4,0,0
240.06,Guilford,728.43,445000,2010,3,3,0
137.22,Hernando,2428.12,309990,2025,2,3,0
155.89,Douglas,3164.64,299000,2003,3,4,0
397.35,Jackson,3439.83,350000,1980,4,4,0
394.37,Botetourt,2468.58,739000,2003,5,5,0
177.63,Durham,930.78,365000,2003,3,3,0
275.83,Los Angeles,650.33,4189000,1940,4,5,0
156.26,Mecklenburg,890.31,335000,1987,3,3,0
318.47,Rogers,3670.5,635000,2013,4,4,0
342.25,Frio,6110.76,437000,1981,3,3,1
89.19,Hennepin,607.03,350000,1922,1,2,0
156.82,Travis,772.95,575000,1994,2,3,0
206.24,Hamilton,1902.02,575000,1973,4,4,0
370.78,Muscogee,3055.38,585000,2013,5,5,0
224.64,Hamilton,1857.51,450000,1988,4,4,1
107.02,Smyth,3197.02,44900,1964,1,3,0
262.92,Sangamon,6798.72,337500,1969,3,4,1
148.64,Oakland,1254.53,225000,1969,1,3,0
145.3,Lake,971.25,290000,1980,2,3,0
91.79,Kings (Brooklyn),120.87,899000,1930,2,3,0
335.29,Jefferson,1416.4,580000,1980,4,4,1
121.15,Greene,10157.62,149900,1900,2,3,0
127.46,Cleveland,2063.9,230000,1997,3,4,0
152.73,Middlesex,696.87,539900,1985,3,3,0
155.15,Dane,1173.59,425000,1981,3,3,1
142.7,Travis,869.67,445000,1967,2,3,0
221.02,Wayne,4451.55,449900,1978,3,4,1
165.74,Jackson,1077.68,385000,1987,2,2,0
266.35,Albany,2185.3,639800,1987,4,5,0
172.43,Cortland,1133.12,320000,1987,3,3,1
283.45,Catoosa,2023.43,575000,1999,3,5,0
173.08,Washington,161.87,529000,2012,3,3,0
243.96,San Bernardino,408.77,1100000,2016,3,4,1
119.57,Orange,1537.81,325000,1990,2,3,1
155.89,Horry,202.34,615000,2005,3,5,0
389.91,Summit,3103.13,509900,1985,3,4,0
170.29,Los Angeles,7766.33,1499000,1968,3,3,0
137.31,Calhoun,2913.74,229000,1942,2,3,1
112.04,Penobscot,566.56,169000,1915,1,3,1
146.04,Monroe,1052.18,199900,1958,2,4,0
125.33,Union,169.97,275000,1999,2,2,0
120.87,Kleberg,526.09,248900,2025,2,3,0
165.55,Perry,1578.28,399000,1995,2,3,1
143.26,Terrebonne,566.56,215000,1997,2,3,0
121.8,Clark,161.87,345000,2005,3,2,1
132.29,Washington,5422.79,420000,1995,2,3,0
279.64,Bremer,2832.8,398900,2000,3,4,0
263.84,Oneida,1610.65,250000,1930,3,3,0
130.9,Nueces,566.56,229000,1980,2,3,0
86.21,Wayne,526.09,244900,1959,2,3,0
146.42,Orange County,31565.51,549000,1930,2,3,1
121.24,Horry,485.62,669000,1974,2,3,0
122.26,Leflore,975.29,179900,1996,2,3,0
326.65,Wake,1902.02,857500,2020,3,4,0
110.37,Cook,485.62,399000,1954,2,3,0
96.99,Maricopa,687.97,377800,1940,1,2,0
74.69,DuPage,716.29,364900,1952,2,2,0
232.91,St. Joseph County,1821.09,375000,1992,3,4,1
130.9,Erie,501.81,475000,2013,2,2,0
147.16,Chemung,673.4,229900,1920,2,3,0
200.67,Kent,2428.12,360000,1984,3,4,0
84.73,Black Hawk,485.62,184900,1959,1,3,0
170.66,Mecklenburg,1052.18,400000,1989,3,3,0
80.27,St. Louis,641.02,89900,1958,1,3,0
310.2,Collier,4370.61,3250000,2022,4,4,0
134.15,Rockland County,1214.06,600000,1962,2,4,1
131.18,Charlotte,1052.18,299000,2003,2,3,0
