Building Size,County,Land Size,Price,Year Built,bathroom(s),bedroom(s),livingroom(s)
175.22,Nassau County,650.33,1150888,1958,3,3,0
154.03,Polk,445.15,310000,2016,2,2,1
162.77,Lee,1045.3,399999,2025,3,4,0
265.33,Androscoggin,4046.86,399900,1983,2,4,1
113.81,Los Angeles,240.38,1795000,1921,3,2,1
120.12,Pinellas,566.56,739000,1930,2,2,1
168.34,Meade,3965.92,328500,2023,2,4,0
217.3,Erie,1091.03,370000,2004,3,3,1
257.81,Cumberland,2954.21,440000,2022,3,5,0
429.96,Duval,1902.02,2095000,1997,5,5,0
102.47,Yadkin,3993.04,150000,1940,2,3,0
143.63,Pitt,1254.53,214990,1972,2,3,0
159.24,Duval,3844.52,270000,1946,2,3,0
219.72,Riverside,674.2,599000,2019,2,4,1
128.3,Sullivan,80.94,262990,2025,3,3,1
128.3,Sullivan,80.94,262990,2025,3,3,1
185.16,Greene,1254.53,299900,1965,2,3,0
128.3,Sullivan,80.94,262990,2025,3,3,1
193.05,Pike,1982.96,375000,1991,3,5,1
178.28,Blackhawk,1416.4,225000,1966,2,3,0
50.17,Fulton - GA,48.56,155000,1971,1,1,0
323.67,Cumberland,404.69,895000,1890,3,0,0
344.76,Pike,2266.24,460000,1990,3,3,1
196.95,Bronx County,210.44,649000,1930,2,4,0
190.27,Kosciusko County,404.69,179900,1910,2,4,1
169.73,Marion,971.25,231900,1994,2,3,0
250.84,Faulkner,2104.37,525000,2025,3,4,1
431.53,FAIRFAX,3844.52,1488000,1974,4,5,0
172.89,Iredell,1618.74,365000,1998,3,4,0
182.09,Cleveland,689.99,387000,2018,2,3,0
112.04,Hidalgo,827.18,165000,2008,3,3,0
120.77,Bowie County,768.9,284900,2025,2,3,0
85.84,MONROE,1214.06,325500,1967,1,3,0
270.07,Stokes,2104.37,524900,2008,3,3,0
133.5,Ottawa,1699.68,525000,2019,2,3,1
125.88,Maricopa,526.09,373000,2016,2,3,0
243.41,Knox County - 1,930.78,529900,2012,3,3,0
101.45,Ocean,971.25,369000,1959,1,3,0
136.01,Washington,2387.65,194900,2004,3,3,0
111.48,Bowie County,809.37,269900,2025,2,3,0
165.18,Hartford,1821.09,430000,1960,3,3,0
155.61,Maricopa,566.56,379000,2004,2,3,0
343.74,Suffolk County,1902.02,1290000,1994,4,5,1
128.21,Pima,687.97,337000,1992,2,3,0
273.13,Fannin,8903.09,675000,2005,4,4,0
258.27,Linn,1295.0,599000,2025,4,4,0
137.12,St. Charles,647.5,255000,1992,3,2,1
167.23,Blount County - 28,890.31,400000,2006,2,3,0
272.39,James City County VA,2104.37,710000,1996,4,4,0
75.44,Summit,4678.98,685000,1982,2,2,0
284.93,MONTGOMERY,849.84,1090000,1967,3,5,0
305.0,Los Angeles,913.33,1050000,1966,3,5,0
293.2,Iredell,1861.56,1295000,2005,3,4,0
184.88,Duplin,18534.62,450000,1994,3,3,0
231.33,Forsyth,3723.11,505000,2004,3,3,0
317.54,Pinal,1416.4,919990,2013,5,4,0
175.77,Wake,687.97,365000,2011,3,3,0
149.11,Simpson,1214.06,305000,2022,2,4,0
159.7,Lee,2023.83,350000,2024,2,3,0
295.25,"Johnson, KS",959.51,520000,1985,5,4,1
192.59,Lake,1299.04,514900,1990,3,3,0
130.99,Lee,730.86,205000,2008,3,2,0
123.28,Greene,768.9,260000,2019,2,3,0
214.33,Bexar,538.23,280000,2011,3,3,1
175.49,Bernalillo,849.84,424999,1972,2,3,0
329.81,Anoka,1092.65,485000,1985,4,5,0
129.51,Pitt,1254.53,240000,1956,2,3,0
105.91,St. Johns,768.9,329990,1990,2,3,0
244.24,Wake,728.43,422000,2007,3,4,0
220.55,Cherokee - GA,1982.96,499000,2017,2,2,0
234.49,Wake,728.43,595000,2016,3,3,0
218.23,Hays,1439.87,615000,1925,4,4,0
137.22,Glenn,768.87,385000,1965,2,3,1
289.86,Jackson,1133.12,564900,2020,3,4,0
185.25,Pinellas,809.37,510000,1961,3,5,1
118.54,Duval,930.78,340000,1988,2,3,0
169.55,Bibb,1133.12,275000,1890,2,2,1
118.17,Genesee,283.28,419000,1998,3,3,0
